phenotype,concept_id,units,outlier_sd,min,max,drugcovars
#ALT,37047736,blood,5,0,250,
#platelet_count,3024929,"thousand per microliter,thousand per cubic millimeter,billion per liter,no value",5,0,1000,
#alkaline_phosphatase,3035995,"unit per liter,international unit per liter",5,0,250,
#aspartate_aminotransferase,3013721,"unit per liter,international unit per liter",5,0,90,
#calcium,3006906,"milligram per deciliter",5,0,30,
#cholesterol,3027114,"milligram per deciliter",5,0,1000,
#creatinine,3016723,"milligram per deciliter",5,0,10,
#eosinophil_percent,3010457,"percent,no value",5,0,100,
#glucose,3004501,"milligram per deciliter",5,0,500,
#glycated_haemoglobin,3004410,"percent",5,0,50,
#haematocrit,3023314,"percent",5,0,100,
#hdl_cholesterol,3007070,"milligram per deciliter",5,0,200,
#ldl_cholesterol,3028288,"milligram per deciliter",5,0,500,21601855:statin
#lymphocyte_percent,3037511,"percent,no value",5,0,100,
#egfr,46236952,"milliliter per minute per 1.73 square meter,milliliter per minute",5,0,200,
#mean_platelet_volume,3043111,"femtoliter",5,0,50,
#neutrophil_count,3013650,"thousand per microliter",5,0,50,
#neutrophil_percent,3008342,"percent,no value",5,0,150,
#phosphate,3011904,"milligram per deciliter",5,0,10,
#red_blood_cell_count,3020416,"million per microliter,Meter per microliter,million per cubic millimeter,trillion per liter,Meter per cubic millimeter,thousand per cubic millimeter",5,0,20,
#mean_corpuscular_hemoglobin,3012030,"picogram,picogram per cell,no value",5,0,100,
#mean_corpuscular_volume,3023599,"femtoliter,u/m3,no value",5,0,200,
#red_blood_cell_distribution_width,3019897,"percent,no value",5,0,100,
#protein,3020630,"gram per deciliter,gram per deciliter calculated,no value",5,0,20,
#triglycerides,3022192,"milligram per deciliter",5,0,500,
#white_blood_cell_count,3000905,"thousand per microliter,thousand per cubic millimeter",5,0,100,
#total_bilirubin,3024128,"milligram per deciliter",5,0,3,
#urea,3013682,"milligram per deciliter",5,0,100,
albumin,3024561,"gram per liter",5,0,100,
hemoglobin,3000963,"gram per liter",5,0,250,
